metabolite,SampleID,flux,description
arab_D_m,SRR11128252,1.00E-06,D-Arabinose
acac_m,SRR11128252,1.00E-06,acetoacetate
2hyoxplac_m,SRR11128252,1.00E-06,2-Hydroxyphenylacetate
ttdca_m,SRR11128252,1.00E-06,tetradecanoate (n-C14:0)
fru_m,SRR11128252,1.00E-06,D-Fructose
fum_m,SRR11128252,1.00E-06,Fumarate
xtsn_m,SRR11128252,1.00E-06,xanthosine
btd_RR_m,SRR11128252,1.00E-06,R_R__2_3_Butanediol
rbflvrd_m,SRR11128252,1.00E-06,Reduced riboflavin
ch4s_m,SRR11128252,1.00E-06,Methanethiol
ppi_m,SRR11128252,1.00E-06,Diphosphate
12ppd_S_m,SRR11128252,1.00E-06,"(S)-propane-1,2-diol"
cys_L_m,SRR11128252,1.00E-06,L-cysteine
galur_m,SRR11128252,1.00E-06,D-Galacturonate
ac_m,SRR11128252,1.00E-06,acetate
2obut_m,SRR11128252,1.00E-06,2-Oxobutanoate
apio_D_m,SRR11128252,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
kdo_m,SRR11128252,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR11128252,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR11128252,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR11128252,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
indole_m,SRR11128252,1.00E-06,Indole
acerA_m,SRR11128252,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
fald_m,SRR11128252,1.00E-06,formaldehyde
ispre_m,SRR11128252,1.00E-06,Isoprene
mqn7_m,SRR11128246,1.00E-06,Menaquinone 7
mqn8_m,SRR11128246,461.5519547,Menaquinone 8
h_m,SRR11128246,2.513383898,proton
h2s_m,SRR11128246,1.00E-06,Hydrogen sulfide
so4_m,SRR11128246,1.380805593,sulfate
co2_m,SRR11128246,0.023858392,carbon dioxide
tma_m,SRR11128246,1.00E-06,trimethylamine
h2o_m,SRR11128246,0.212578504,Water
tmao_m,SRR11128246,1.653575858,Trimethylamine N-oxide
so3_m,SRR11128246,1.00E-06,Sulfite
tsul_m,SRR11128246,0.247562581,thiosulfate(2-)
for_m,SRR11128246,1.00E-06,Formate
chol_m,SRR11128246,1.00E-06,Choline
o2_m,SRR11128246,1.00E-06,O2
diact_m,SRR11128246,1.00E-06,Diacetyl
ppa_m,SRR11128246,1.00E-06,propionate
h2_m,SRR11128246,1.00E-06,Hydrogen
xan_m,SRR11128246,0.191586717,Xanthine
lac_L_m,SRR11128246,1.00E-06,(S)-lactate
glyc_m,SRR11128246,1.00E-06,Glycerol
succ_m,SRR11128246,1.00E-06,Succinate
isocapr_m,SRR11128246,1.00E-06,Isocaproate
oxa_m,SRR11128246,1.00E-06,oxalate(2-)
glyclt_m,SRR11128246,1.00E-06,glycolate
pac_m,SRR11128246,1.00E-06,phenylacetate
acald_m,SRR11128246,1.00E-06,acetaldehyde
actn_R_m,SRR11128246,1.00E-06,(R)-Acetoin
isobut_m,SRR11128246,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,SRR11128246,1.00E-06,chorismate
hxan_m,SRR11128246,1.00E-06,Hypoxanthine
mnl_m,SRR11128246,0.06633015,D-Mannitol
gcald_m,SRR11128246,1.00E-06,glycolaldehyde
fuc_L_m,SRR11128246,1.00E-06,L-fucose
bhb_m,SRR11128246,1.00E-06,(R)-3-hydroxybutyrate
cit_m,SRR11128246,1.00E-06,Citrate
isoval_m,SRR11128246,1.00E-06,"Isovalerate, 3-Methylbutanoate"
nac_m,SRR11128246,0.166163066,Nicotinate
ura_m,SRR11128246,0.1136007,uracil
glyb_m,SRR11128246,1.00E-06,glycine betaine
rib_D_m,SRR11128246,1.00E-06,D-ribose
glcn_m,SRR11128246,1.00E-06,D-gluconate
3mop_m,SRR11128246,1.00E-06,3-methyl-2-oxopentanoate
alltn_m,SRR11128246,0.27447084,Allantoin
inost_m,SRR11128246,1.00E-06,myo-inositol
phenol_m,SRR11128246,1.00E-06,Phenol
mal_L_m,SRR11128246,1.00E-06,(S)-malate(2-)
phpyr_m,SRR11128246,0.031804545,keto-phenylpyruvate
thymd_m,SRR11128246,1.00E-06,Thymidine
4hbz_m,SRR11128246,0.051989572,4-hydroxybenzoate
etoh_m,SRR11128246,1.00E-06,ethanol
lald_L_m,SRR11128246,1.00E-06,(S)-lactaldehyde
ins_m,SRR11128246,1.00E-06,Inosine
but_m,SRR11128246,1.00E-06,butyrate
4hphac_m,SRR11128246,1.00E-06,4-hydroxyphenylacetate
uri_m,SRR11128246,1.00E-06,Uridine
ocdca_m,SRR11128246,1.00E-06,octadecanoate (n-C18:0)
2ddglcn_m,SRR11128246,1.00E-06,2-Dehydro-3-deoxy-D-gluconate
ribflv_m,SRR11128246,1.00E-06,Riboflavin
hdca_m,SRR11128246,1.00E-06,Hexadecanoate (n-C16:0)
meoh_m,SRR11128246,1.00E-06,methanol
4hoxpacd_m,SRR11128246,1.00E-06,(4-hydroxyphenyl)acetaldehyde
arab_D_m,SRR11128246,1.00E-06,D-Arabinose
acac_m,SRR11128246,1.00E-06,acetoacetate
2hyoxplac_m,SRR11128246,1.00E-06,2-Hydroxyphenylacetate
ttdca_m,SRR11128246,1.00E-06,tetradecanoate (n-C14:0)
fru_m,SRR11128246,1.00E-06,D-Fructose
fum_m,SRR11128246,1.00E-06,Fumarate
xtsn_m,SRR11128246,1.00E-06,xanthosine
btd_RR_m,SRR11128246,1.00E-06,R_R__2_3_Butanediol
rbflvrd_m,SRR11128246,1.00E-06,Reduced riboflavin
ch4s_m,SRR11128246,1.00E-06,Methanethiol
ppi_m,SRR11128246,1.00E-06,Diphosphate
12ppd_S_m,SRR11128246,1.00E-06,"(S)-propane-1,2-diol"
cys_L_m,SRR11128246,1.00E-06,L-cysteine
galur_m,SRR11128246,1.00E-06,D-Galacturonate
ac_m,SRR11128246,1.00E-06,acetate
2obut_m,SRR11128246,1.00E-06,2-Oxobutanoate
apio_D_m,SRR11128246,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
kdo_m,SRR11128246,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR11128246,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR11128246,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR11128246,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
indole_m,SRR11128246,1.00E-06,Indole
acerA_m,SRR11128246,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
fald_m,SRR11128246,1.00E-06,formaldehyde
ispre_m,SRR11128246,1.00E-06,Isoprene
mqn7_m,SRR11128253,1.00E-06,Menaquinone 7
mqn8_m,SRR11128253,573.2228037,Menaquinone 8
h_m,SRR11128253,1.00E-06,proton
h2s_m,SRR11128253,1.00E-06,Hydrogen sulfide
so4_m,SRR11128253,1.00E-06,sulfate
co2_m,SRR11128253,1.029049603,carbon dioxide
tma_m,SRR11128253,1.00E-06,trimethylamine
h2o_m,SRR11128253,2.760904882,Water
tmao_m,SRR11128253,1.00E-06,Trimethylamine N-oxide
so3_m,SRR11128253,0.220139965,Sulfite
tsul_m,SRR11128253,1.00E-06,thiosulfate(2-)
for_m,SRR11128253,1.00E-06,Formate
chol_m,SRR11128253,1.00E-06,Choline
o2_m,SRR11128253,1.00E-06,O2
diact_m,SRR11128253,1.00E-06,Diacetyl
ppa_m,SRR11128253,1.00E-06,propionate
h2_m,SRR11128253,1.00E-06,Hydrogen
xan_m,SRR11128253,0.554502925,Xanthine
lac_L_m,SRR11128253,1.00E-06,(S)-lactate
glyc_m,SRR11128253,1.00E-06,Glycerol
succ_m,SRR11128253,1.00E-06,Succinate
isocapr_m,SRR11128253,1.00E-06,Isocaproate
oxa_m,SRR11128253,1.00E-06,oxalate(2-)
glyclt_m,SRR11128253,1.00E-06,glycolate
pac_m,SRR11128253,1.00E-06,phenylacetate
acald_m,SRR11128253,1.00E-06,acetaldehyde
actn_R_m,SRR11128253,1.00E-06,(R)-Acetoin
isobut_m,SRR11128253,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,SRR11128253,1.00E-06,chorismate
hxan_m,SRR11128253,1.00E-06,Hypoxanthine
mnl_m,SRR11128253,1.00E-06,D-Mannitol
gcald_m,SRR11128253,1.00E-06,glycolaldehyde
fuc_L_m,SRR11128253,1.00E-06,L-fucose
bhb_m,SRR11128253,1.00E-06,(R)-3-hydroxybutyrate
cit_m,SRR11128253,1.00E-06,Citrate
isoval_m,SRR11128253,1.00E-06,"Isovalerate, 3-Methylbutanoate"
nac_m,SRR11128253,0.095332285,Nicotinate
ura_m,SRR11128253,0.197824152,uracil
glyb_m,SRR11128253,1.00E-06,glycine betaine
rib_D_m,SRR11128253,1.00E-06,D-ribose
glcn_m,SRR11128253,1.00E-06,D-gluconate
3mop_m,SRR11128253,1.00E-06,3-methyl-2-oxopentanoate
alltn_m,SRR11128253,1.00E-06,Allantoin
inost_m,SRR11128253,1.00E-06,myo-inositol
phenol_m,SRR11128253,1.00E-06,Phenol
mal_L_m,SRR11128253,1.00E-06,(S)-malate(2-)
phpyr_m,SRR11128253,1.00E-06,keto-phenylpyruvate
thymd_m,SRR11128253,0.007181835,Thymidine
4hbz_m,SRR11128253,0.046669067,4-hydroxybenzoate
etoh_m,SRR11128253,1.00E-06,ethanol
lald_L_m,SRR11128253,1.00E-06,(S)-lactaldehyde
ins_m,SRR11128253,1.00E-06,Inosine
but_m,SRR11128253,1.00E-06,butyrate
4hphac_m,SRR11128253,1.00E-06,4-hydroxyphenylacetate
uri_m,SRR11128253,1.00E-06,Uridine
ocdca_m,SRR11128253,1.00E-06,octadecanoate (n-C18:0)
2ddglcn_m,SRR11128253,1.00E-06,2-Dehydro-3-deoxy-D-gluconate
ribflv_m,SRR11128253,1.00E-06,Riboflavin
hdca_m,SRR11128253,1.00E-06,Hexadecanoate (n-C16:0)
meoh_m,SRR11128253,0.006513,methanol
4hoxpacd_m,SRR11128253,1.00E-06,(4-hydroxyphenyl)acetaldehyde
arab_D_m,SRR11128253,1.00E-06,D-Arabinose
acac_m,SRR11128253,1.00E-06,acetoacetate
2hyoxplac_m,SRR11128253,1.00E-06,2-Hydroxyphenylacetate
ttdca_m,SRR11128253,1.00E-06,tetradecanoate (n-C14:0)
fru_m,SRR11128253,1.00E-06,D-Fructose
fum_m,SRR11128253,1.00E-06,Fumarate
xtsn_m,SRR11128253,1.00E-06,xanthosine
btd_RR_m,SRR11128253,1.00E-06,R_R__2_3_Butanediol
rbflvrd_m,SRR11128253,1.00E-06,Reduced riboflavin
ch4s_m,SRR11128253,1.00E-06,Methanethiol
ppi_m,SRR11128253,1.00E-06,Diphosphate
12ppd_S_m,SRR11128253,1.00E-06,"(S)-propane-1,2-diol"
cys_L_m,SRR11128253,1.00E-06,L-cysteine
galur_m,SRR11128253,1.00E-06,D-Galacturonate
ac_m,SRR11128253,1.00E-06,acetate
2obut_m,SRR11128253,1.00E-06,2-Oxobutanoate
apio_D_m,SRR11128253,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
kdo_m,SRR11128253,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR11128253,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR11128253,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR11128253,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
indole_m,SRR11128253,1.00E-06,Indole
acerA_m,SRR11128253,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
fald_m,SRR11128253,1.00E-06,formaldehyde
ispre_m,SRR11128253,1.00E-06,Isoprene
mqn7_m,ERR9791466,288.275146,Menaquinone 7
mqn8_m,ERR9791466,523.3117355,Menaquinone 8
h_m,ERR9791466,1.00E-06,proton
h2s_m,ERR9791466,1.00E-06,Hydrogen sulfide
so4_m,ERR9791466,1.00E-06,sulfate
co2_m,ERR9791466,1.058178576,carbon dioxide
tma_m,ERR9791466,1.00E-06,trimethylamine
h2o_m,ERR9791466,2.707344589,Water
tmao_m,ERR9791466,1.00E-06,Trimethylamine N-oxide
so3_m,ERR9791466,0.162578527,Sulfite
tsul_m,ERR9791466,1.00E-06,thiosulfate(2-)
for_m,ERR9791466,1.00E-06,Formate
chol_m,ERR9791466,1.00E-06,Choline
o2_m,ERR9791466,1.00E-06,O2
diact_m,ERR9791466,1.00E-06,Diacetyl
ppa_m,ERR9791466,1.00E-06,propionate
h2_m,ERR9791466,1.00E-06,Hydrogen
xan_m,ERR9791466,0.463281432,Xanthine
lac_L_m,ERR9791466,1.00E-06,(S)-lactate
glyc_m,ERR9791466,1.00E-06,Glycerol
succ_m,ERR9791466,1.00E-06,Succinate
isocapr_m,ERR9791466,1.00E-06,Isocaproate
oxa_m,ERR9791466,1.00E-06,oxalate(2-)
glyclt_m,ERR9791466,1.00E-06,glycolate
pac_m,ERR9791466,1.00E-06,phenylacetate
acald_m,ERR9791466,1.00E-06,acetaldehyde
actn_R_m,ERR9791466,1.00E-06,(R)-Acetoin
isobut_m,ERR9791466,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,ERR9791466,1.00E-06,chorismate
hxan_m,ERR9791466,1.00E-06,Hypoxanthine
mnl_m,ERR9791466,1.00E-06,D-Mannitol
gcald_m,ERR9791466,1.00E-06,glycolaldehyde
fuc_L_m,ERR9791466,1.00E-06,L-fucose
bhb_m,ERR9791466,1.00E-06,(R)-3-hydroxybutyrate
cit_m,ERR9791466,1.00E-06,Citrate
isoval_m,ERR9791466,1.00E-06,"Isovalerate, 3-Methylbutanoate"
nac_m,ERR9791466,0.183595945,Nicotinate
ura_m,ERR9791466,0.202427996,uracil
glyb_m,ERR9791466,1.00E-06,glycine betaine
rib_D_m,ERR9791466,1.00E-06,D-ribose
glcn_m,ERR9791466,1.00E-06,D-gluconate
3mop_m,ERR9791466,1.00E-06,3-methyl-2-oxopentanoate
alltn_m,ERR9791466,1.00E-06,Allantoin
inost_m,ERR9791466,1.00E-06,myo-inositol
phenol_m,ERR9791466,1.00E-06,Phenol
mal_L_m,ERR9791466,1.00E-06,(S)-malate(2-)
phpyr_m,ERR9791466,1.00E-06,keto-phenylpyruvate
thymd_m,ERR9791466,0.008367873,Thymidine
4hbz_m,ERR9791466,1.00E-06,4-hydroxybenzoate
etoh_m,ERR9791466,1.00E-06,ethanol
lald_L_m,ERR9791466,1.00E-06,(S)-lactaldehyde
ins_m,ERR9791466,1.00E-06,Inosine
but_m,ERR9791466,1.00E-06,butyrate
4hphac_m,ERR9791466,1.00E-06,4-hydroxyphenylacetate
uri_m,ERR9791466,1.00E-06,Uridine
ocdca_m,ERR9791466,1.00E-06,octadecanoate (n-C18:0)
2ddglcn_m,ERR9791466,1.00E-06,2-Dehydro-3-deoxy-D-gluconate
ribflv_m,ERR9791466,1.00E-06,Riboflavin
hdca_m,ERR9791466,1.00E-06,Hexadecanoate (n-C16:0)
meoh_m,ERR9791466,0.006513,methanol
4hoxpacd_m,ERR9791466,1.00E-06,(4-hydroxyphenyl)acetaldehyde
arab_D_m,ERR9791466,1.00E-06,D-Arabinose
acac_m,ERR9791466,1.00E-06,acetoacetate
2hyoxplac_m,ERR9791466,1.00E-06,2-Hydroxyphenylacetate
ttdca_m,ERR9791466,1.00E-06,tetradecanoate (n-C14:0)
fru_m,ERR9791466,1.00E-06,D-Fructose
fum_m,ERR9791466,1.00E-06,Fumarate
xtsn_m,ERR9791466,1.00E-06,xanthosine
btd_RR_m,ERR9791466,1.00E-06,R_R__2_3_Butanediol
rbflvrd_m,ERR9791466,1.00E-06,Reduced riboflavin
ch4s_m,ERR9791466,1.00E-06,Methanethiol
ppi_m,ERR9791466,1.00E-06,Diphosphate
12ppd_S_m,ERR9791466,1.00E-06,"(S)-propane-1,2-diol"
cys_L_m,ERR9791466,1.00E-06,L-cysteine
galur_m,ERR9791466,1.00E-06,D-Galacturonate
ac_m,ERR9791466,1.00E-06,acetate
2obut_m,ERR9791466,1.00E-06,2-Oxobutanoate
apio_D_m,ERR9791466,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
kdo_m,ERR9791466,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,ERR9791466,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,ERR9791466,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,ERR9791466,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
indole_m,ERR9791466,1.00E-06,Indole
acerA_m,ERR9791466,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
fald_m,ERR9791466,1.00E-06,formaldehyde
ispre_m,ERR9791466,1.00E-06,Isoprene
mqn7_m,ERR9791471,179.9905834,Menaquinone 7
mqn8_m,ERR9791471,459.2811074,Menaquinone 8
h_m,ERR9791471,1.00E-06,proton
h2s_m,ERR9791471,0.165687866,Hydrogen sulfide
so4_m,ERR9791471,1.00E-06,sulfate
co2_m,ERR9791471,1.543110218,carbon dioxide
tma_m,ERR9791471,1.00E-06,trimethylamine
h2o_m,ERR9791471,5.914354059,Water
tmao_m,ERR9791471,1.00E-06,Trimethylamine N-oxide
so3_m,ERR9791471,1.00E-06,Sulfite
tsul_m,ERR9791471,1.00E-06,thiosulfate(2-)
for_m,ERR9791471,1.00E-06,Formate
chol_m,ERR9791471,1.00E-06,Choline
o2_m,ERR9791471,1.00E-06,O2
diact_m,ERR9791471,1.00E-06,Diacetyl
ppa_m,ERR9791471,1.00E-06,propionate
h2_m,ERR9791471,1.00E-06,Hydrogen
xan_m,ERR9791471,0.488030733,Xanthine
lac_L_m,ERR9791471,1.00E-06,(S)-lactate
glyc_m,ERR9791471,1.00E-06,Glycerol
succ_m,ERR9791471,1.00E-06,Succinate
isocapr_m,ERR9791471,1.00E-06,Isocaproate
oxa_m,ERR9791471,1.00E-06,oxalate(2-)
glyclt_m,ERR9791471,1.00E-06,glycolate
pac_m,ERR9791471,1.00E-06,phenylacetate
acald_m,ERR9791471,1.00E-06,acetaldehyde
actn_R_m,ERR9791471,1.00E-06,(R)-Acetoin
isobut_m,ERR9791471,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,ERR9791471,1.00E-06,chorismate
hxan_m,ERR9791471,1.00E-06,Hypoxanthine
mnl_m,ERR9791471,1.00E-06,D-Mannitol
gcald_m,ERR9791471,1.00E-06,glycolaldehyde
fuc_L_m,ERR9791471,1.00E-06,L-fucose
bhb_m,ERR9791471,1.00E-06,(R)-3-hydroxybutyrate
cit_m,ERR9791471,1.00E-06,Citrate
isoval_m,ERR9791471,1.00E-06,"Isovalerate, 3-Methylbutanoate"
nac_m,ERR9791471,0.096160124,Nicotinate
ura_m,ERR9791471,0.14966453,uracil
glyb_m,ERR9791471,1.00E-06,glycine betaine
rib_D_m,ERR9791471,1.00E-06,D-ribose
glcn_m,ERR9791471,1.00E-06,D-gluconate
3mop_m,ERR9791471,1.00E-06,3-methyl-2-oxopentanoate
alltn_m,ERR9791471,1.00E-06,Allantoin
inost_m,ERR9791471,1.00E-06,myo-inositol
phenol_m,ERR9791471,1.00E-06,Phenol
mal_L_m,ERR9791471,1.00E-06,(S)-malate(2-)
phpyr_m,ERR9791471,1.00E-06,keto-phenylpyruvate
thymd_m,ERR9791471,0.005500325,Thymidine
4hbz_m,ERR9791471,1.00E-06,4-hydroxybenzoate
etoh_m,ERR9791471,1.00E-06,ethanol
lald_L_m,ERR9791471,1.00E-06,(S)-lactaldehyde
ins_m,ERR9791471,1.00E-06,Inosine
but_m,ERR9791471,1.00E-06,butyrate
4hphac_m,ERR9791471,1.00E-06,4-hydroxyphenylacetate
uri_m,ERR9791471,1.00E-06,Uridine
ocdca_m,ERR9791471,1.00E-06,octadecanoate (n-C18:0)
2ddglcn_m,ERR9791471,1.00E-06,2-Dehydro-3-deoxy-D-gluconate
ribflv_m,ERR9791471,1.00E-06,Riboflavin
hdca_m,ERR9791471,1.00E-06,Hexadecanoate (n-C16:0)
meoh_m,ERR9791471,0.006513,methanol
4hoxpacd_m,ERR9791471,1.00E-06,(4-hydroxyphenyl)acetaldehyde
arab_D_m,ERR9791471,1.00E-06,D-Arabinose
acac_m,ERR9791471,1.00E-06,acetoacetate
2hyoxplac_m,ERR9791471,1.00E-06,2-Hydroxyphenylacetate
ttdca_m,ERR9791471,1.00E-06,tetradecanoate (n-C14:0)
fru_m,ERR9791471,1.00E-06,D-Fructose
fum_m,ERR9791471,1.00E-06,Fumarate
xtsn_m,ERR9791471,1.00E-06,xanthosine
btd_RR_m,ERR9791471,1.00E-06,R_R__2_3_Butanediol
rbflvrd_m,ERR9791471,1.00E-06,Reduced riboflavin
ch4s_m,ERR9791471,1.00E-06,Methanethiol
ppi_m,ERR9791471,1.00E-06,Diphosphate
12ppd_S_m,ERR9791471,1.00E-06,"(S)-propane-1,2-diol"
cys_L_m,ERR9791471,1.00E-06,L-cysteine
galur_m,ERR9791471,1.00E-06,D-Galacturonate
ac_m,ERR9791471,1.00E-06,acetate
2obut_m,ERR9791471,1.00E-06,2-Oxobutanoate
apio_D_m,ERR9791471,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
kdo_m,ERR9791471,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,ERR9791471,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,ERR9791471,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,ERR9791471,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
indole_m,ERR9791471,1.00E-06,Indole
acerA_m,ERR9791471,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
fald_m,ERR9791471,1.00E-06,formaldehyde
ispre_m,ERR9791471,1.00E-06,Isoprene
mqn7_m,SRR20999516,4.969099287,Menaquinone 7
mqn8_m,SRR20999516,15.17428027,Menaquinone 8
h_m,SRR20999516,410.7296481,proton
h2s_m,SRR20999516,11.05961787,Hydrogen sulfide
so4_m,SRR20999516,5.838657771,sulfate
co2_m,SRR20999516,11.54801031,carbon dioxide
tma_m,SRR20999516,6.460009465,trimethylamine
h2o_m,SRR20999516,1.00E-06,Water
tmao_m,SRR20999516,10.22243256,Trimethylamine N-oxide
so3_m,SRR20999516,1.00E-06,Sulfite
tsul_m,SRR20999516,1.00E-06,thiosulfate(2-)
for_m,SRR20999516,1.00E-06,Formate
chol_m,SRR20999516,1.00E-06,Choline
o2_m,SRR20999516,1.00E-06,O2
diact_m,SRR20999516,1.00E-06,Diacetyl
ppa_m,SRR20999516,0.218237416,propionate
h2_m,SRR20999516,1.00E-06,Hydrogen
xan_m,SRR20999516,0.548789349,Xanthine
lac_L_m,SRR20999516,1.00E-06,(S)-lactate
glyc_m,SRR20999516,1.00E-06,Glycerol
succ_m,SRR20999516,1.00E-06,Succinate
isocapr_m,SRR20999516,1.00E-06,Isocaproate
oxa_m,SRR20999516,1.00E-06,oxalate(2-)
glyclt_m,SRR20999516,1.00E-06,glycolate
pac_m,SRR20999516,1.00E-06,phenylacetate
acald_m,SRR20999516,1.00E-06,acetaldehyde
actn_R_m,SRR20999516,1.00E-06,(R)-Acetoin
isobut_m,SRR20999516,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,SRR20999516,1.00E-06,chorismate
hxan_m,SRR20999516,1.00E-06,Hypoxanthine
mnl_m,SRR20999516,1.00E-06,D-Mannitol
gcald_m,SRR20999516,1.00E-06,glycolaldehyde
fuc_L_m,SRR20999516,2.016981535,L-fucose
